airline,flightNumber,origin,destination,daysOfWeek,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,scheduledDepartureTime,scheduledArrivalTime,flightTime,flightTimeMinutes,rate
IndiGo,6162,Coimbatore,Goa,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:45,03:05,01:20,80.00,2720
IndiGo,6128,Kolkata,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:45,04:50,03:05,185.00,6290
IndiGo,117,Goa,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:50,03:00,01:10,70.00,2380
IndiGo,242,Kochi,Pune,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:50,03:40,01:50,110.00,3740
IndiGo,364,Kolkata,Raipur,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:50,19:35,17:45,1065.00,
AirAsia India,975,Pune,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:55,03:20,01:25,85.00,2890
IndiGo,2461,Delhi,Hyderabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,01:55,04:10,02:15,135.00,4590
SpiceJet,6629,Pune,Ahmedabad,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,03:25,01:25,85.00,2890
IndiGo,681,Pune,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,03:30,01:30,90.00,3060
Air India,642,Nagpur,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,03:40,01:40,100.00,3400
Air India,642,MIHAN,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,03:40,01:40,100.00,3400
SpiceJet,929,Pune,Chennai,"Sunday,Wednesday,Friday,Saturday",N,N,Y,N,Y,Y,Y,02:00,03:50,01:50,110.00,3740
SpiceJet,929,Pune,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,03:50,01:50,110.00,3740
IndiGo,681,Pune,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,04:10,02:10,130.00,4420
IndiGo,681,Pune,Delhi,Saturday,N,N,N,N,N,Y,N,02:00,04:10,02:10,130.00,4420
IndiGo,154,Mumbai,Delhi,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,04:15,02:15,135.00,4590
IndiGo,2716,Delhi,Mumbai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,04:15,02:15,135.00,4590
IndiGo,2624,Delhi,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:00,04:45,02:45,165.00,5610
Jet Airways,194,Ahmedabad,Guwahati,"Monday,Tuesday,Wednesday,Thursday",Y,Y,Y,Y,N,N,N,02:00,05:35,03:35,215.00,3625
IndiGo,5223,Goa,Mumbai,Tuesday,N,Y,N,N,N,N,N,02:05,03:15,01:10,70.00,2380
IndiGo,617,Goa,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:05,03:20,01:15,75.00,2550
IndiGo,2128,Delhi,Chennai,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:05,04:55,02:50,170.00,5780
IndiGo,681,Patna,Bengaluru,"Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday",Y,Y,Y,Y,Y,Y,Y,02:05,04:55,02:50,170.00,5780
